state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Ohio,2001-01-01,17258460.120960303,134790.87615218206,1
Ohio,2002-01-01,17885592.55109403,137827.6925084805,1
Ohio,2003-01-01,18851970.97382864,139611.1771704368,1
Ohio,2004-01-01,19637388.781937502,141340.27009977362,1
Ohio,2005-01-01,19565840.7140362,141684.2949527574,1
Ohio,2006-01-01,19643850.246164538,141459.2216647638,1
Ohio,2007-01-01,19482447.03768538,138511.1294099065,1
Ohio,2008-01-01,19727432.50699645,133000.17290732783,1
Ohio,2009-01-01,20097645.60595646,126707.35522628174,1
Ohio,2010-01-01,20265836.27787215,120114.97770331241,1
Ohio,2011-01-01,20069884.3499938,113866.08969384785,1
Ohio,2012-01-01,20068549.031169973,107056.07370943068,1
Ohio,2013-01-01,19143446.46736761,106637.70768434713,1
Ohio,2014-01-01,19282602.107456427,109866.3729077015,1
Ohio,2015-01-01,19638658.07404034,112775.84051053078,1
Ohio,2016-01-01,20271944.0,118571.98499417923,1
South Dakota,2000-01-01,950594.0089402662,126898.85107872217,1
South Dakota,2001-01-01,976992.6199219155,122882.6363525832,1
South Dakota,2002-01-01,1008614.795544743,124614.58998118705,1
South Dakota,2003-01-01,1026063.6317152504,126663.21649419185,1
South Dakota,2004-01-01,1035243.3785878328,129421.96562930828,1
South Dakota,2005-01-01,1044332.2189995981,134120.08871862452,1
South Dakota,2006-01-01,1049544.786172639,138554.04121520347,1
South Dakota,2007-01-01,1054867.0195405313,139728.63464063156,1
South Dakota,2008-01-01,1095425.8160155462,141569.65746363328,1
South Dakota,2009-01-01,1121779.256104304,143025.7737872244,1
South Dakota,2010-01-01,1149824.154740691,138423.77004839914,1
South Dakota,2011-01-01,1138936.2584431518,136269.47327552768,1
South Dakota,2012-01-01,1094329.8326149816,133524.5814785449,1
South Dakota,2013-01-01,1099328.9171229543,142428.2409443195,1
South Dakota,2014-01-01,1136850.3142177458,148368.98880294347,1
South Dakota,2015-01-01,1155863.0207655625,152681.46225479123,1
South Dakota,2016-01-01,1185796.0,162120.90493370412,1
Wisconsin,2000-01-01,9011959.54394856,144146.06948440662,1
